game_id,season,week,home_team,away_team,full_spread,full_total,full_home_points,full_away_points,1h_spread,1h_total,1h_home_points,1h_away_points,spread_half_naive,total_half_naive,spread_dev,total_dev
401757292,2025,10,Middle Tennessee,Jacksonville State,4.5,54.0,21,24,2.5,27.5,6,7,2.25,27.0,0.25,0.5
401757291,2025,10,Missouri State,Florida International,-3.0,50.0,28,21,-1.5,24.5,14,14,-1.5,25.0,0.0,-0.5
401762443,2025,10,UTSA,Tulane,5.5,54.5,48,26,3.5,27.5,31,12,2.75,27.25,0.75,0.25
401761640,2025,10,Coastal Carolina,Marshall,7.5,55.5,44,27,3.5,27.5,17,20,3.75,27.75,-0.25,-0.25
401762497,2025,10,Rice,Memphis,13.5,48.5,14,38,7.5,24.5,7,31,6.75,24.25,0.75,0.25
401754575,2025,10,Syracuse,North Carolina,-1.5,45.5,10,27,-0.5,21.5,10,6,-0.75,22.75,0.25,-1.25
401757290,2025,10,Louisiana Tech,Sam Houston,-16.5,48.0,55,14,-9.5,24.5,27,0,-8.25,24.0,-1.25,0.5
401752889,2025,10,Ohio State,Penn State,-17.5,45.5,38,14,-10.5,23.5,17,14,-8.75,22.75,-1.75,0.75
401762849,2025,10,Bowling Green,Buffalo,-2.5,44.5,3,28,-0.5,21.5,0,21,-1.25,22.25,0.75,-0.75
401760401,2025,10,Air Force,Army,1.5,48.5,17,20,-0.5,23.5,3,10,0.75,24.25,-1.25,-0.75
401754577,2025,10,Clemson,Duke,-4.5,55.5,45,46,-2.5,27.5,28,28,-2.25,27.75,-0.25,-0.25
401752758,2025,10,Texas,Vanderbilt,-3.5,48.5,34,31,-2.5,23.5,24,10,-1.75,24.25,-0.75,-0.75
401754581,2025,10,SMU,Miami,8.5,50.5,26,20,4.5,24.5,7,10,4.25,25.25,0.25,-0.75
401757173,2025,10,UConn,UAB,-10.0,61.5,38,19,-6.5,31.5,24,0,-5.0,30.75,-1.5,0.75
401762499,2025,10,North Texas,Navy,-6.5,68.5,31,17,-3.5,34.5,24,10,-3.25,34.25,-0.25,0.25
401752891,2025,10,Illinois,Rutgers,-13.5,63.5,35,13,-7.5,32.5,21,6,-6.75,31.75,-0.75,0.75
401756938,2025,10,Houston,West Virginia,-13.5,48.5,35,45,-7.5,24.5,21,21,-6.75,24.25,-0.75,0.25
401756936,2025,10,Baylor,UCF,-3.0,58.5,30,3,-2.5,28.5,20,3,-1.5,29.25,-1.0,-0.75
401756939,2025,10,Iowa State,Arizona State,-7.5,48.5,19,24,-5.5,23.5,16,17,-3.75,24.25,-1.75,-0.75
401762498,2025,10,Temple,East Carolina,5.5,58.5,14,45,2.5,28.5,14,28,2.75,29.25,-0.25,-0.75
401754580,2025,10,Virginia Tech,Louisville,10.5,52.5,16,28,5.5,26.5,16,7,5.25,26.25,0.25,0.25
401760404,2025,10,UNLV,New Mexico,-3.5,61.5,35,40,-2.5,30.5,21,31,-1.75,30.75,-0.75,-0.25
401752755,2025,10,Florida,Georgia,7.0,50.5,20,24,3.5,24.5,10,10,3.5,25.25,0.0,-0.75
401761641,2025,10,UL Monroe,Old Dominion,16.5,55.5,6,31,9.5,27.5,0,24,8.25,27.75,1.25,-0.25
401752887,2025,10,Maryland,Indiana,21.0,50.5,10,55,11.5,27.5,3,20,10.5,25.25,1.0,2.25
401754582,2025,10,Stanford,Pittsburgh,13.5,51.5,20,35,7.5,26.5,13,21,6.75,25.75,0.75,0.75
401754583,2025,10,Boston College,Notre Dame,31.5,55.5,10,25,17.5,30.5,7,12,15.75,27.75,1.75,2.75
401760402,2025,10,Boise State,Fresno State,-17.5,47.5,7,30,-9.5,24.5,7,10,-8.75,23.75,-0.75,0.75
401756941,2025,10,Kansas State,Texas Tech,7.5,51.5,20,43,3.5,26.5,7,12,3.75,25.75,-0.25,0.75
401757293,2025,10,Liberty,Delaware,-3.5,52.5,59,30,-2.5,26.5,28,9,-1.75,26.25,-0.75,0.25
401761642,2025,10,South Alabama,Louisiana,-3.5,52.5,22,31,-2.5,26.5,7,24,-1.75,26.25,-0.75,0.25
401752888,2025,10,Minnesota,Michigan State,-4.5,44.5,23,20,-2.5,22.5,10,0,-2.25,22.25,-0.25,0.25
401757294,2025,10,Western Kentucky,New Mexico State,-7.5,53.5,35,16,-4.5,26.5,14,6,-3.75,26.75,-0.75,-0.25
401754576,2025,10,California,Virginia,6.5,52.5,21,31,3.5,25.5,7,17,3.25,26.25,0.25,-0.75
401762850,2025,10,Western Michigan,Central Michigan,-6.0,43.5,24,21,-3.5,20.5,7,14,-3.0,21.75,-0.5,-1.25
401752753,2025,10,Arkansas,Mississippi State,-5.5,66.5,35,38,-3.5,33.5,13,7,-2.75,33.25,-0.75,0.25
401756940,2025,10,Kansas,Oklahoma State,-24.5,54.5,38,21,-14.5,28.5,10,7,-12.25,27.25,-2.25,1.25
401752756,2025,10,Ole Miss,South Carolina,-12.5,55.5,30,14,-7.5,27.5,17,7,-6.25,27.75,-1.25,-0.25
401752890,2025,10,Michigan,Purdue,-21.0,48.5,21,16,-11.5,26.5,14,7,-10.5,24.25,-1.0,2.25
401756937,2025,10,Colorado,Arizona,4.0,52.5,17,52,2.5,25.5,7,38,2.0,26.25,0.5,-0.75
401760405,2025,10,San Diego State,Wyoming,-10.0,42.5,24,7,-5.5,21.5,17,7,-5.0,21.25,-0.5,0.25
401752892,2025,10,Nebraska,USC,4.5,59.5,17,21,2.5,29.5,14,6,2.25,29.75,0.25,-0.25
401752943,2025,10,Oregon State,Washington State,3.5,47.5,10,7,1.5,23.5,3,7,1.75,23.75,-0.25,-0.25
401752757,2025,10,Tennessee,Oklahoma,-3.0,55.5,27,33,-1.5,27.5,10,16,-1.5,27.75,0.0,-0.25
401754578,2025,10,Florida State,Wake Forest,-12.5,50.5,42,7,-6.5,24.5,14,0,-6.25,25.25,-0.25,-0.75
401752754,2025,10,Auburn,Kentucky,-11.5,44.5,3,10,-6.5,22.5,3,3,-5.75,22.25,-0.75,0.25
401761643,2025,10,Troy,Arkansas State,-7.5,52.5,10,23,-5.5,26.5,3,17,-3.75,26.25,-1.75,0.25
401756942,2025,10,Utah,Cincinnati,-11.5,57.5,45,14,-6.5,28.5,24,7,-5.75,28.75,-0.75,-0.25
401762852,2025,11,Ohio,Miami (OH),-2.5,50.5,24,20,-1.5,24.5,3,3,-1.25,25.25,-0.25,-0.75
401762853,2025,11,Ball State,Kent State,-3.0,48.5,17,13,-2.5,23.5,10,3,-1.5,24.25,-1.0,-0.75
401762854,2025,11,Toledo,Northern Illinois,-14.5,42.5,42,3,-7.5,21.5,28,3,-7.25,21.25,-0.25,0.25
401762500,2025,11,South Florida,UTSA,-14.0,66.5,55,23,-7.5,34.5,45,10,-7.0,33.25,-0.5,1.25
401756946,2025,11,UCF,Houston,-1.5,47.5,27,30,-1.5,23.5,24,17,-0.75,23.75,-0.75,-0.25
401762501,2025,11,Memphis,Tulane,-3.0,53.5,32,38,-2.5,26.5,17,35,-1.5,26.75,-1.0,-0.25
401752896,2025,11,USC,Northwestern,-14.5,54.5,38,17,-7.5,27.5,21,14,-7.25,27.25,-0.25,0.25
401752893,2025,11,Penn State,Indiana,13.5,50.5,24,27,7.5,26.5,7,17,6.75,25.25,0.75,1.25
401756947,2025,11,West Virginia,Colorado,-6.5,51.5,29,22,-3.5,26.5,19,9,-3.25,25.75,-0.25,0.75
401761647,2025,11,Arkansas State,Southern Miss,6.5,54.5,21,27,3.5,27.5,7,17,3.25,27.25,0.25,0.25
401762503,2025,11,Army,Temple,-7.5,45.5,14,13,-3.5,21.5,7,10,-3.75,22.75,0.25,-1.25
401756945,2025,11,Texas Tech,BYU,-13.5,50.5,29,7,-7.5,24.5,13,0,-6.75,25.25,-0.75,-0.75
401754584,2025,11,Boston College,SMU,10.5,54.5,13,45,6.5,27.5,6,17,5.25,27.25,1.25,0.25
401761646,2025,11,Marshall,James Madison,13.5,53.5,23,35,7.5,27.5,12,21,6.75,26.75,0.75,0.75
401752762,2025,11,Mississippi State,Georgia,9.5,56.5,21,41,5.5,28.5,7,24,4.75,28.25,0.75,0.25
401757299,2025,11,Liberty,Missouri State,-7.5,51.5,17,21,-4.5,26.5,10,0,-3.75,25.75,-0.75,0.75
401752761,2025,11,Ole Miss,The Citadel,-51.5,63.5,49,0,-28.5,35.5,35,0,-25.75,31.75,-2.75,3.75
401762855,2025,11,Eastern Michigan,Bowling Green,-3.0,49.5,27,21,-1.5,23.5,10,14,-1.5,24.75,0.0,-1.25
401752897,2025,11,Purdue,Ohio State,29.5,49.5,10,34,17.5,27.5,3,24,14.75,24.75,2.75,2.75
401762502,2025,11,Rice,UAB,1.5,51.5,24,17,0.5,24.5,14,17,0.75,25.75,-0.25,-1.25
401752894,2025,11,Rutgers,Maryland,-1.5,56.5,35,20,-0.5,28.5,21,17,-0.75,28.25,0.25,0.25
401757296,2025,11,Middle Tennessee,Florida International,-1.5,50.5,30,56,-0.5,24.5,17,21,-0.75,25.25,0.25,-0.75
401762504,2025,11,East Carolina,Charlotte,-29.5,56.5,48,22,-16.5,30.5,35,14,-14.75,28.25,-1.75,2.25
401762505,2025,11,Florida Atlantic,Tulsa,-4.5,60.5,40,21,-2.5,30.5,31,6,-2.25,30.25,-0.25,0.25
401757295,2025,11,Delaware,Louisiana Tech,5.5,57.5,25,24,3.5,27.5,9,7,2.75,28.75,0.75,-1.25
401757297,2025,11,UTEP,Jacksonville State,1.5,46.5,27,30,0.5,23.5,13,20,0.75,23.25,-0.25,0.25
401756943,2025,11,Arizona,Kansas,-5.5,56.5,24,20,-3.5,27.5,14,17,-2.75,28.25,-0.75,-0.75
401754590,2025,11,UConn,Duke,7.5,63.5,37,34,4.5,31.5,20,14,3.75,31.75,0.75,-0.25
401752898,2025,11,Iowa,Oregon,4.5,41.5,16,18,2.5,20.5,7,12,2.25,20.75,0.25,-0.25
401756944,2025,11,TCU,Iowa State,-7.5,58.5,17,20,-4.5,29.5,3,6,-3.75,29.25,-0.75,0.25
401754587,2025,11,Miami,Syracuse,-28.5,47.5,38,10,-17.5,26.5,14,0,-14.25,23.75,-3.25,2.75
401752763,2025,11,Missouri,Texas A&M,7.0,48.5,17,38,3.5,24.5,0,14,3.5,24.25,0.0,0.25
401757298,2025,11,New Mexico State,Kennesaw State,11.5,52.5,21,24,6.5,26.5,7,24,5.75,26.25,0.75,0.25
401752764,2025,11,Vanderbilt,Auburn,-6.0,46.5,45,38,-3.5,22.5,10,20,-3.0,23.25,-0.5,-0.75
401761645,2025,11,Coastal Carolina,Georgia State,-7.0,56.5,40,27,-4.5,28.5,23,14,-3.5,28.25,-1.0,0.25
401752899,2025,11,Wisconsin,Washington,10.5,44.5,13,10,6.5,22.5,3,10,5.25,22.25,1.25,0.25
401754588,2025,11,North Carolina,Stanford,-8.5,41.5,20,15,-4.5,20.5,3,3,-4.25,20.75,-0.25,-0.25
