game_id,season,week,home_team,away_team,home_conference,away_conference,home_points,away_points,provider,spread,total
401767668,2025,9,Bucknell,Georgetown,Patriot,Patriot,24,31,ESPN Bet,-1.5,57.5
401756932,2025,9,Kansas,Kansas State,Big 12,Big 12,17,42,DraftKings,-3.5,55.5
401767607,2025,9,Davidson,San Diego,Pioneer,Pioneer,28,40,ESPN Bet,28.5,56.5
401752750,2025,9,Oklahoma,Ole Miss,SEC,SEC,26,34,DraftKings,-5.5,52.5
401752942,2025,9,Wake Forest,SMU,ACC,ACC,13,12,ESPN Bet,5.5,52.5
401762494,2025,9,Memphis,South Florida,American Athletic,American Athletic,34,31,DraftKings,3.5,58.5
401752884,2025,9,Purdue,Rutgers,Big Ten,Big Ten,24,27,ESPN Bet,-2.5,60.5
401752746,2025,9,Arkansas,Auburn,SEC,SEC,24,33,ESPN Bet,-2.5,55.5
401767554,2025,9,Cornell,Brown,Ivy,Ivy,30,24,ESPN Bet,2.5,50.5
401762844,2025,9,Buffalo,Akron,Mid-American,Mid-American,16,24,DraftKings,-10.0,48.5
401767035,2025,9,Rhode Island,Bryant,CAA,CAA,38,17,ESPN Bet,-18.5,
401767145,2025,9,North Carolina A&T,Campbell,CAA,CAA,28,24,ESPN Bet,3.0,55.5
401767176,2025,9,Maine,Elon,CAA,CAA,35,14,ESPN Bet,4.5,49.5
401767729,2025,9,Holy Cross,Colgate,Patriot,Patriot,28,29,ESPN Bet,-3.0,51.5
401767271,2025,9,New Hampshire,William & Mary,CAA,CAA,34,24,ESPN Bet,-1.5,48.5
401767638,2025,9,Valparaiso,Morehead State,Pioneer,Pioneer,13,17,ESPN Bet,6.5,48.5
401767675,2025,9,Fordham,Lehigh,Patriot,Patriot,6,27,ESPN Bet,24.5,51.5
401767345,2025,9,North Carolina Central,Delaware State,MEAC,MEAC,26,35,ESPN Bet,-18.0,63.5
401767650,2025,9,Stetson,St. Thomas (MN),Pioneer,Pioneer,10,52,ESPN Bet,25.5,54.5
401767221,2025,9,Tennessee Tech,Southeast Missouri State,Big South-OVC,Big South-OVC,42,23,ESPN Bet,-21.5,60.5
401767185,2025,9,Hampton,Monmouth,CAA,CAA,10,28,ESPN Bet,25.0,68.5
401767408,2025,9,Norfolk State,South Carolina State,MEAC,MEAC,20,51,ESPN Bet,14.5,53.5
401767569,2025,9,Furman,The Citadel,Southern,Southern,24,14,ESPN Bet,-2.5,47.5
