game_id,half_spread,half_total
401752813,-24.5,29.5
401752693,-21.5,28.5
401754524,-1.5,26.5
401754618,-3.5,27.5
401752694,-20.5,30.5
401762462,-14.5,24.5
401754620,-11.5,34.5
401752685,-26.5,31.5
401760366,-9.5,31.5
401756881,-13.5,26.5
401752692,-22.5,30.5
401752937,-0.5,21.5
401761603,-2.5,33.5
401752824,-17.5,29.5
401752818,-7.5,22.5
401762458,-11.5,30.5
401756880,-12.5,23.5
401752686,5.5,24.5
401754622,-20.5,32.5
401754637,-18.5,27.5
401762461,6.5,28.5
401752815,-30.5,35.5
401762794,-21.5,27.5
401752689,-3.5,24.5
401762816,-9.5,27.5
401761596,-18.5,30.5
401752820,-16.5,24.5
401756883,2.5,28.5
401760367,-7.5,23.5
401752684,-10.5,30.5
401760365,-4.5,27.5
401761602,-9.5,29.5
401752682,-13.5,32.5
401762459,-17.5,30.5
401761599,-12.5,25.5
401756887,-24.5,30.5
401762460,-12.5,26.5
401757228,-4.5,27.5
401754530,-25.5,30.5
401760364,-20.5,30.5
401754641,-31.5,36.5
401757232,-4.5,28.5
401761598,7.5,28.5
401756882,-9.5,24.5
401761601,7.5,26.5
401756886,-21.5,28.5
401762795,-12.5,28.5
401756884,7.5,19.5
401752819,-11.5,27.5
401752690,-2.5,20.5
401752810,-20.5,26.5
401754527,7.5,24.5
401752695,-0.5,21.5
401752816,-2.5,22.5
401752683,-26.5,30.5
401752814,-17.5,33.5
401752687,-21.5,27.5
401761597,-16.5,27.5
401752688,3.5,29.5
401752681,-20.5,27.5
401761600,-11.5,27.5
401752823,0.5,27.5
401757231,-4.5,25.5
401757229,2.5,25.5
401752691,-25.5,29.5
401756879,-18.5,30.5
401752948,-0.5,23.5
401754526,-11.5,23.5
401752821,-17.5,28.5
401757230,-3.5,23.5
401754531,4.5,26.5
401752836,-27.5,34.5
401754532,-21.5,35.5
401756893,-2.5,22.5
401756888,0.5,27.5
401752837,-8.5,27.5
401754623,0.5,25.5
401762817,13.5,25.5
401752696,-10.5,22.5
401752839,-16.5,23.5
401761608,3.5,26.5
401754619,-17.5,27.5
401752828,-28.5,33.5
401752831,14.5,26.5
401752838,-17.5,29.5
401752703,13.5,27.5
401756891,-29.5,36.5
401752697,-14.5,30.5
401752702,-15.5,24.5
401762818,-1.5,24.5
401757168,4.5,26.5
401752834,-13.5,30.5
401762819,-20.5,30.5
401756892,-28.5,31.5
401752938,-14.5,33.5
401762467,-11.5,32.5
401752835,-28.5,31.5
401752832,11.5,30.5
401754615,16.5,32.5
401754639,-14.5,24.5
401752705,2.5,23.5
401752949,-3.5,28.5
401752833,-25.5,31.5
401754638,3.5,27.5
401756890,12.5,29.5
401752706,-23.5,29.5
401754535,-10.5,28.5
401757256,3.5,24.5
401757258,-5.5,24.5
401761606,-8.5,27.5
401752701,-24.5,31.5
401757235,-9.5,23.5
401762464,-2.5,33.5
401757233,-1.5,28.5
401752700,-2.5,30.5
401761607,1.5,27.5
401752829,-16.5,27.5
401752827,-17.5,27.5
401754536,-3.5,25.5
401757234,-2.5,28.5
401761605,-18.5,34.5
401762466,-17.5,27.5
401757257,-5.5,21.5
401752830,-20.5,24.5
401761604,4.5,28.5
401752698,-14.5,25.5
401752707,-3.5,24.5
401752699,-3.5,23.5
401752704,-1.5,24.5
401762465,7.5,26.5
401756894,-24.5,34.5
401754534,-0.5,26.5
401756895,13.5,24.5
401762463,-6.5,29.5
401760368,2.5,24.5
401760369,-21.5,29.5
401754533,7.5,23.5
401752840,0.5,20.5
401756889,-10.5,31.5
401760370,-21.5,30.5
401762468,0.5,20.5
401756900,-5.5,27.5
401752844,0.5,23.5
401754617,-20.5,28.5
401760376,0.5,24.5
401756901,-2.5,28.5
401762469,1.5,24.5
401754642,-14.5,27.5
401754537,-9.5,27.5
401752708,3.5,29.5
401762470,-20.5,31.5
401752845,-6.5,22.5
401754636,-3.5,32.5
401752715,-24.5,38.5
401762822,-16.5,24.5
401752841,-21.5,32.5
401762823,-17.5,31.5
401754640,-3.5,23.5
401752711,-6.5,31.5
401752846,0.5,23.5
401762820,7.5,24.5
401757169,-11.5,27.5
401752714,-3.5,23.5
401761613,-3.5,21.5
401757262,4.5,23.5
401752848,-14.5,27.5
401754541,-27.5,32.5
401761610,0.5,24.5
401754538,-1.5,27.5
401752712,-14.5,25.5
401754542,-13.5,28.5
401760375,-7.5,26.5
401762821,-6.5,24.5
401756899,-6.5,27.5
401757261,2.5,28.5
401757259,-2.5,27.5
401757265,-9.5,30.5
401760372,6.5,25.5
401761609,-13.5,31.5
401757268,-4.5,27.5
401757264,1.5,22.5
401761611,-8.5,26.5
401757260,-21.5,33.5
401752713,-6.5,24.5
401752716,-16.5,28.5
401752843,-3.5,25.5
401756898,3.5,24.5
401757263,-2.5,25.5
401754539,-9.5,24.5
401752842,11.5,27.5
401756896,-0.5,30.5
401752709,-4.5,24.5
401752710,-28.5,34.5
401761612,-18.5,31.5
401752723,-24.5,29.5
401760377,-14.5,34.5
401757267,-3.5,23.5
401760373,3.5,29.5
401756897,-6.5,23.5
401754540,7.5,23.5
401752847,-10.5,28.5
401760374,0.5,23.5
401762471,-2.5,26.5
401754543,3.5,30.5
401756902,-1.5,27.5
401752939,7.5,23.5
401752849,-2.5,25.5
401754547,1.5,27.5
401761617,-6.5,32.5
401752717,3.5,31.5
401756906,-3.5,24.5
401752850,3.5,31.5
401756905,-3.5,28.5
401762825,-4.5,24.5
401754546,7.5,27.5
401754545,2.5,29.5
401752725,-13.5,30.5
401762826,-2.5,27.5
401761614,-7.5,27.5
401761616,-0.5,27.5
401756908,6.5,22.5
401760380,0.5,20.5
401752852,4.5,26.5
401752724,-3.5,25.5
401752853,3.5,23.5
401752719,-2.5,29.5
401757170,1.5,24.5
401756907,11.5,30.5
401762473,-7.5,23.5
401754544,-3.5,26.5
401752851,-3.5,22.5
401762824,-12.5,26.5
401760378,-3.5,26.5
401762474,7.5,27.5
401757274,-8.5,27.5
401752720,4.5,31.5
401757270,-3.5,26.5
401757271,-9.5,27.5
401757273,2.5,29.5
401754548,-5.5,29.5
401762472,7.5,31.5
401756904,-2.5,23.5
401757269,-3.5,27.5
401754549,-1.5,23.5
401760379,-9.5,30.5
401752950,-3.5,23.5
401752854,-2.5,26.5
401752718,-0.5,26.5
401752721,-27.5,33.5
401752722,-2.5,23.5
401761615,-0.5,23.5
401757272,2.5,23.5
401756903,3.5,24.5
401757275,0.5,26.5
401757276,-0.5,29.5
401762475,-16.5,30.5
401760384,-0.5,28.5
401756909,-10.5,23.5
401760382,-2.5,20.5
401752728,-11.5,25.5
401756912,-0.5,26.5
401756911,-2.5,30.5
401762476,3.5,27.5
401752861,4.5,27.5
401760381,-7.5,26.5
401752856,-9.5,21.5
401762830,7.5,26.5
401754552,8.5,23.5
401754550,-3.5,27.5
401762479,3.5,29.5
401754556,-3.5,25.5
401754557,-24.5,34.5
401762832,6.5,23.5
401756910,-11.5,29.5
401752727,3.5,20.5
401752857,2.5,25.5
401762873,2.5,20.5
401761618,10.5,27.5
401762831,-5.5,26.5
401754555,-10.5,29.5
401762829,3.5,23.5
401752858,-6.5,21.5
401752726,-6.5,28.5
401754554,-3.5,30.5
401752855,14.5,26.5
401752940,-0.5,26.5
401757165,-12.5,33.5
401757171,-4.5,26.5
401752860,-6.5,23.5
401752729,-28.5,31.5
401761620,7.5,31.5
401761619,-10.5,28.5
401760385,2.5,24.5
401762477,-2.5,27.5
401756913,7.5,26.5
401761621,0.5,22.5
401752730,-9.5,29.5
401752859,-13.5,23.5
401756915,3.5,26.5
401756914,-7.5,28.5
401754553,2.5,27.5
401762478,-12.5,28.5
401760383,-7.5,23.5
401754551,1.5,27.5
401757278,0.5,24.5
401757277,0.5,22.5
401757280,2.5,23.5
401762480,-3.5,26.5
401761622,0.5,30.5
401757279,3.5,27.5
401762481,-0.5,34.5
401752862,-6.5,30.5
401760388,3.5,23.5
401762833,6.5,23.5
401752863,-4.5,26.5
401762483,-9.5,23.5
401754561,-10.5,28.5
401754559,-6.5,28.5
401756917,-6.5,27.5
401761625,-10.5,23.5
401762835,6.5,23.5
401756920,7.5,24.5
401752865,7.5,26.5
401752734,2.5,26.5
401752733,-20.5,31.5
401762836,0.5,23.5
401762837,-0.5,24.5
401752870,-3.5,26.5
401752866,-11.5,24.5
401752867,3.5,23.5
401756918,1.5,24.5
401762834,-5.5,21.5
401756919,1.5,27.5
401761624,1.5,27.5
401767511,-10.5,30.5
401754563,0.5,23.5
401752736,-0.5,21.5
401761626,7.5,29.5
401754560,-7.5,28.5
401760386,-4.5,33.5
401754562,-14.5,31.5
401762484,5.5,26.5
401752735,-6.5,35.5
401762482,-3.5,33.5
401760391,0.5,24.5
401752737,-3.5,23.5
401761623,0.5,22.5
401752869,3.5,17.5
401762485,-5.5,23.5
401752864,-4.5,24.5
401754558,7.5,27.5
401752868,-2.5,28.5
401756921,-7.5,30.5
401752731,3.5,22.5
401752732,-4.5,22.5
401761627,-4.5,26.5
401756916,0.5,23.5
401767133,5.5,28.5
401760387,-8.5,30.5
401756922,-5.5,21.5
401760390,3.5,20.5
401760389,0.5,27.5
401757282,-6.5,23.5
401761628,-5.5,28.5
401757281,-6.5,27.5
401757284,1.5,22.5
401757283,2.5,28.5
401762486,-9.5,27.5
401754564,-5.5,24.5
401752872,3.5,23.5
401760396,-1.5,31.5
401754371,-4.5,23.5
401754566,-2.5,30.5
401762839,-2.5,21.5
401754569,0.5,28.5
401756927,-2.5,33.5
401762488,-6.5,22.5
401762841,-7.5,23.5
